0.0001
Training starts..
Train Epoch: 1 [19360/68175 (28%)] | Loss: 2.823100 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.75 | Time:12.252 | Total_Time:1491.1268
Train Epoch: 1 [19520/68175 (29%)] | Loss: 3.028373 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.625 | Time:12.2808 | Total_Time:1503.3969
Train Epoch: 1 [19680/68175 (29%)] | Loss: 2.492652 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:12.2842 | Total_Time:1515.699
Train Epoch: 1 [19840/68175 (29%)] | Loss: 2.677914 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:12.2899 | Total_Time:1527.9819
Train Epoch: 1 [20000/68175 (29%)] | Loss: 2.745057 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:12.2961 | Total_Time:1540.291
Train Epoch: 1 [20160/68175 (30%)] | Loss: 2.361861 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.75 | Time:12.3196 | Total_Time:1552.5824
Train Epoch: 1 [20320/68175 (30%)] | Loss: 3.522828 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.625 | Time:12.3884 | Total_Time:1564.8813
Train Epoch: 1 [20480/68175 (30%)] | Loss: 3.245509 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:12.2704 | Total_Time:1577.1811
Train Epoch: 1 [20640/68175 (30%)] | Loss: 2.987424 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5625 | Time:12.2676 | Total_Time:1589.4856
Train Epoch: 1 [20800/68175 (31%)] | Loss: 2.673911 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:12.3163 | Total_Time:1601.7811
Train Epoch: 1 [20960/68175 (31%)] | Loss: 2.312525 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:12.3127 | Total_Time:1614.089
Train Epoch: 1 [21120/68175 (31%)] | Loss: 2.537561 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5625 | Time:12.2172 | Total_Time:1626.3775
Train Epoch: 1 [21280/68175 (31%)] | Loss: 2.630221 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.6875 | Time:12.304 | Total_Time:1638.6665
Train Epoch: 1 [21440/68175 (31%)] | Loss: 2.642693 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.625 | Time:12.26 | Total_Time:1650.9709
Train Epoch: 1 [21600/68175 (32%)] | Loss: 2.476375 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:12.2228 | Total_Time:1663.2635
Train Epoch: 1 [21760/68175 (32%)] | Loss: 3.087858 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.4375 | Time:12.261 | Total_Time:1675.5587
Train Epoch: 1 [21920/68175 (32%)] | Loss: 2.176287 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.75 | Time:12.3175 | Total_Time:1687.8284
Train Epoch: 1 [22080/68175 (32%)] | Loss: 2.750331 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:12.2401 | Total_Time:1700.0915
Train Epoch: 1 [22240/68175 (33%)] | Loss: 2.923926 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.6875 | Time:12.2864 | Total_Time:1712.3941
Train Epoch: 1 [22400/68175 (33%)] | Loss: 2.234592 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:12.2461 | Total_Time:1724.6868
Train Epoch: 1 [22560/68175 (33%)] | Loss: 2.132240 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.75 | Time:12.2575 | Total_Time:1736.9685
Train Epoch: 1 [22720/68175 (33%)] | Loss: 2.897022 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.6875 | Time:12.2152 | Total_Time:1749.2471
Train Epoch: 1 [22880/68175 (34%)] | Loss: 2.982246 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:12.3079 | Total_Time:1761.5391
Train Epoch: 1 [23040/68175 (34%)] | Loss: 3.004297 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.6875 | Time:12.4074 | Total_Time:1773.8375
Train Epoch: 1 [23200/68175 (34%)] | Loss: 2.487463 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.625 | Time:12.3588 | Total_Time:1786.1359
Train Epoch: 1 [23360/68175 (34%)] | Loss: 2.430941 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.8125 | Time:12.2861 | Total_Time:1798.4121
Train Epoch: 1 [23520/68175 (34%)] | Loss: 2.741886 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.4375 | Time:12.3421 | Total_Time:1810.6919
Train Epoch: 1 [23680/68175 (35%)] | Loss: 2.888941 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.6875 | Time:12.3885 | Total_Time:1822.9724
Train Epoch: 1 [23840/68175 (35%)] | Loss: 3.176993 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:12.2259 | Total_Time:1835.2753
Train Epoch: 1 [24000/68175 (35%)] | Loss: 1.839182 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.75 | Time:12.2426 | Total_Time:1847.5664
Train Epoch: 1 [24160/68175 (35%)] | Loss: 3.466224 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:12.2945 | Total_Time:1859.849
Train Epoch: 1 [24320/68175 (36%)] | Loss: 2.194522 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:12.3016 | Total_Time:1872.1564
Train Epoch: 1 [24480/68175 (36%)] | Loss: 2.968780 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.4375 | Time:12.2756 | Total_Time:1884.4415
Train Epoch: 1 [24640/68175 (36%)] | Loss: 2.884315 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5625 | Time:12.2883 | Total_Time:1896.7137
Train Epoch: 1 [24800/68175 (36%)] | Loss: 2.373181 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.8125 | Time:12.2668 | Total_Time:1908.9819
