0.0001
Training starts..
/home/menglei/anaconda3/lib/python3.6/site-packages/torch/nn/functional.py:1890: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
Train Epoch: 1 [17120/68175 (25%)] | Loss: 3.616306 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.8125 | Time:7.8123 | Total_Time:2824.826
Train Epoch: 1 [17280/68175 (25%)] | Loss: 3.666946 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:6.9973 | Total_Time:2858.263
Train Epoch: 1 [17440/68175 (26%)] | Loss: 4.249166 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.625 | Time:7.0743 | Total_Time:2882.9037
Train Epoch: 1 [17600/68175 (26%)] | Loss: 3.158525 | Top1_Accuracy_V:0.625 | Top5_Accuracy_V:0.9375 | Time:7.0256 | Total_Time:2909.2265
Train Epoch: 1 [17760/68175 (26%)] | Loss: 4.074881 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.75 | Time:6.9686 | Total_Time:2931.2582
Train Epoch: 1 [17920/68175 (26%)] | Loss: 3.352707 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.8125 | Time:6.6262 | Total_Time:2943.3565
Train Epoch: 1 [18080/68175 (27%)] | Loss: 3.455534 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:6.9084 | Total_Time:2974.8327
Train Epoch: 1 [18240/68175 (27%)] | Loss: 3.623348 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.75 | Time:6.8536 | Total_Time:3008.6984
Train Epoch: 1 [18400/68175 (27%)] | Loss: 4.175810 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.8125 | Time:7.706 | Total_Time:3044.6294
Train Epoch: 1 [18560/68175 (27%)] | Loss: 4.456528 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:6.9493 | Total_Time:3074.7656
Train Epoch: 1 [18720/68175 (27%)] | Loss: 3.613559 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.75 | Time:6.8683 | Total_Time:3106.5033
